Node,Community
0,5
58,5
133,11
201,5
239,2
430,7
466,4
1,4
14,5
136,4
178,6
195,4
204,11
281,4
2,7
357,2
366,2
463,7
3,4
44,9
311,7
326,9
363,5
4,8
122,8
132,8
194,8
316,2
460,4
5,2
40,2
118,1
174,2
265,11
284,2
361,2
376,6
6,7
159,10
225,7
414,5
452,7
7,11
55,8
120,3
221,11
256,7
8,7
112,7
252,7
365,8
380,5
9,2
165,5
200,6
10,6
52,6
138,5
11,9
171,9
179,9
351,8
483,8
12,9
18,7
62,11
79,8
134,8
287,8
393,11
436,6
437,9
13,10
109,10
145,9
153,6
161,11
245,7
372,10
411,11
19,5
88,2
428,7
15,5
190,1
16,11
75,5
368,5
17,1
144,11
186,8
243,1
275,9
298,6
397,3
54,11
83,7
152,7
481,7
36,8
377,7
433,5
442,8
444,2
20,8
426,1
490,8
21,7
31,8
93,7
143,7
454,11
22,8
115,9
424,0
440,5
477,8
23,2
142,2
482,7
24,7
216,7
255,7
258,6
410,7
467,1
486,11
25,9
84,3
86,10
215,6
300,9
305,1
370,11
462,4
26,2
157,2
260,2
302,2
314,4
27,0
117,7
211,5
259,9
327,0
387,1
28,11
32,7
155,11
212,11
257,3
317,8
318,2
399,10
29,1
41,1
325,1
348,1
400,5
30,2
101,9
323,3
383,1
386,1
427,8
469,2
82,6
168,8
177,11
321,10
147,5
224,1
339,5
33,5
240,5
246,2
263,9
384,8
408,1
34,2
85,11
146,10
395,0
405,6
421,5
35,6
128,8
156,9
213,10
236,11
390,6
53,3
328,8
459,1
37,5
341,5
38,3
458,7
39,5
102,5
98,1
229,2
303,2
475,0
68,3
478,11
42,7
73,7
99,1
162,1
254,6
315,1
429,2
43,2
95,2
378,2
473,7
45,9
183,9
217,0
381,2
491,9
46,2
150,6
182,2
345,2
47,3
81,8
103,11
290,3
48,8
97,4
111,8
187,8
280,9
349,11
49,2
488,5
50,8
87,0
158,8
180,11
51,1
139,5
249,1
355,1
449,11
231,6
312,4
295,4
324,3
350,5
487,3
151,2
304,11
114,7
191,3
270,3
56,7
279,1
333,7
57,4
272,8
286,3
293,11
261,3
59,7
455,6
461,6
60,8
61,5
124,7
343,7
423,6
434,11
63,6
116,6
214,3
232,6
332,6
64,6
65,7
207,4
337,0
66,0
91,5
288,0
443,0
67,7
71,2
438,5
106,3
396,3
403,3
69,1
297,1
354,5
409,8
70,10
220,11
262,2
72,1
108,1
164,7
313,1
448,7
479,7
74,1
282,1
209,5
76,6
77,9
78,6
140,8
474,3
80,4
196,5
398,6
419,1
307,6
413,11
418,7
342,4
359,3
431,9
346,0
453,5
100,2
189,11
251,2
364,2
445,9
89,7
94,2
126,7
456,7
90,1
176,2
291,11
92,7
322,7
310,7
137,5
234,2
335,6
289,11
96,9
175,9
274,2
192,5
497,2
388,1
476,1
457,1
237,9
468,7
271,9
104,3
203,3
235,7
441,3
105,9
127,6
169,3
107,6
202,7
331,11
406,3
205,6
301,4
465,1
110,11
125,2
131,11
193,7
113,4
119,4
334,4
338,7
420,3
451,6
294,4
389,1
185,4
356,4
121,6
306,6
148,8
336,8
123,7
198,5
283,7
292,9
439,3
247,11
493,7
222,6
172,8
129,4
269,9
285,7
130,5
266,5
228,0
369,6
470,8
485,11
135,7
206,4
226,4
230,6
166,1
167,6
375,4
404,5
248,7
141,1
268,8
320,7
417,11
494,7
149,7
379,1
253,5
173,7
385,2
392,11
218,6
371,1
480,1
496,4
154,9
407,5
276,2
244,5
160,5
197,2
163,5
447,5
208,4
492,7
233,1
329,11
347,11
170,2
250,4
353,9
450,5
472,9
422,9
319,4
181,9
264,5
358,1
184,5
401,4
188,11
412,6
432,3
416,5
199,3
394,11
471,5
340,7
374,1
373,4
299,1
210,9
308,2
227,6
344,6
238,0
219,3
464,11
223,3
402,1
267,4
278,0
367,5
241,7
242,7
273,2
352,9
489,11
296,8
277,4
446,8
435,4
309,4
495,7
330,7
484,2
391,4
360,2
362,7
382,4
415,5
425,5
