Node,Community
0,3
86,1
131,3
172,3
397,2
424,3
495,3
506,3
510,3
1,3
233,3
443,3
478,3
500,3
2,3
21,3
226,3
263,3
293,3
505,3
3,2
22,2
48,2
76,2
175,2
194,2
283,2
305,2
310,2
327,2
377,2
404,2
412,2
428,2
446,2
451,2
458,2
480,2
482,2
541,2
4,3
109,3
117,3
119,3
272,3
367,3
457,3
5,2
25,2
27,2
33,2
40,2
122,2
130,2
162,2
179,2
229,2
237,2
309,2
311,2
314,2
330,2
336,2
339,2
369,2
401,2
429,2
431,2
440,2
520,2
6,4
170,4
417,3
462,4
477,4
504,3
524,3
7,2
60,2
378,2
8,2
128,2
307,2
9,2
16,2
34,2
98,3
110,2
147,2
205,2
238,2
253,2
262,2
286,2
318,2
333,2
334,2
341,2
364,2
368,2
371,2
391,2
393,2
435,2
437,2
496,2
502,3
10,3
63,3
75,3
136,3
11,4
240,4
245,3
331,4
467,3
12,2
31,2
210,2
388,2
449,2
13,3
29,3
64,3
73,3
146,3
177,3
266,3
365,3
434,3
470,3
487,3
492,3
514,3
14,3
118,3
231,3
465,3
15,2
358,2
41,2
52,2
59,2
78,2
90,2
112,2
134,2
139,2
143,2
152,2
178,2
212,2
239,2
248,2
289,2
353,2
361,2
366,2
373,2
405,2
414,2
430,2
436,2
525,2
17,3
228,3
484,3
18,4
94,4
483,4
19,3
56,3
116,3
138,3
381,3
385,3
387,3
509,3
20,3
265,3
515,3
49,3
50,2
69,2
71,2
79,2
85,2
95,4
99,2
103,2
104,3
105,2
126,2
135,2
145,3
158,2
160,2
161,2
163,2
169,2
188,2
192,4
196,2
218,2
220,2
234,3
242,4
260,2
274,2
284,2
290,2
292,2
295,2
306,2
313,2
319,2
322,3
340,2
345,2
386,2
394,3
398,2
399,2
400,2
402,2
406,2
411,0
418,2
420,2
444,2
486,3
507,2
522,2
526,2
527,2
533,2
543,4
23,4
216,4
523,4
546,4
24,2
141,2
26,2
28,3
84,3
463,3
466,3
106,3
154,3
206,3
230,3
328,3
337,3
342,3
362,3
370,3
383,3
438,3
460,3
494,3
503,3
532,3
30,2
299,2
372,2
32,3
107,2
247,2
288,0
35,4
70,4
93,4
96,4
208,4
273,2
315,4
351,4
352,3
408,4
456,4
501,4
508,2
36,3
115,3
201,3
37,4
72,4
425,4
426,4
481,4
38,3
459,3
39,3
184,3
42,3
207,3
251,3
349,3
450,3
452,3
43,3
55,3
44,3
45,3
46,3
47,3
51,3
58,3
83,3
133,3
157,3
173,3
236,3
255,3
279,3
282,3
300,3
441,3
468,3
491,3
512,3
516,3
77,3
223,2
348,2
453,3
433,3
294,3
422,2
53,3
156,3
379,3
415,3
54,3
360,3
124,3
129,3
427,3
493,3
545,3
80,1
87,3
88,3
89,3
97,3
155,3
211,3
215,4
257,3
338,4
407,3
485,3
57,3
191,3
246,3
517,3
61,3
280,3
471,3
62,3
382,3
144,3
166,3
203,3
221,3
222,3
225,3
268,3
270,3
297,3
312,3
332,3
356,3
357,3
363,3
65,3
269,3
447,1
66,3
67,3
271,3
475,3
68,3
198,4
267,3
498,3
114,4
323,4
464,4
355,3
74,3
421,3
149,3
227,3
235,3
259,3
380,2
392,2
224,3
243,3
308,3
137,1
148,1
287,1
445,1
81,3
423,3
82,4
108,3
168,3
183,3
281,3
374,3
479,3
488,3
325,2
390,1
202,3
250,3
544,3
91,2
92,3
347,3
344,4
254,4
497,4
530,4
531,4
535,4
536,4
537,4
538,4
539,4
540,4
150,3
321,3
442,3
190,3
213,3
473,3
167,2
100,3
303,3
101,3
375,3
102,3
285,3
113,3
277,3
324,3
256,3
291,3
396,2
193,3
111,2
439,3
343,2
499,3
153,3
171,3
217,3
197,3
403,3
461,3
199,3
359,3
120,2
121,2
123,3
142,3
354,3
376,3
125,3
127,4
219,4
278,2
419,2
180,3
132,3
189,3
204,3
326,3
176,3
432,3
151,3
389,3
410,3
454,3
140,3
209,3
316,3
304,3
490,3
529,3
249,3
264,3
317,3
159,3
200,2
164,0
165,3
329,3
181,4
185,3
174,3
214,3
276,3
335,3
182,3
528,0
186,3
187,2
195,3
513,4
542,4
476,3
416,3
469,3
232,3
302,3
275,2
241,2
346,4
244,3
252,0
258,3
261,3
518,3
511,3
409,3
455,3
413,3
472,3
384,3
395,3
296,3
298,4
301,3
320,3
474,4
350,0
448,3
521,3
519,3
534,4
489,4
